ref_id,txn_type,msg_id,mti,blr_category,response_code,payment_channel,cou_id,bou_id,bou_status,cust_mobile_num,tran_ref_id,blr_id,agent_id,last_upd_host,last_upd_port,last_upd_site_cd,crtn_ts,settlement_cycle_id,complaince_cd,complaince_reason,mandatory_cust_params,initiating_ai,txn_amount,on_us,payment_mode
REF39FGFFRN9TVULVR6LE7ETT2VNF0AGVYILXZ,FETCH,MSG1NHAIFCVF34EEYWRUVRRBHYSCGLD1PWPSBO,FETCH,Mobile,000,POS,HD01,EU51,SUCCESS,9428927324,HD01TRNNFCZQ6KG,VIDEOCONONATO1,HD01AGT2662,127.0.0.1,9090,SITE1,2024-12-12 23:30:35,SCYCLE342,,,,HD01,805.8,Y,CBDC
REFUPM5ZKA9NSTSJTS93NGWTRFDNRLWAKHL6D0,FETCH,MSGUIUDHFXCSPNMOX770Z5IHH8SBX1VGIYATKI,FETCH,Electicity,001,Internet,BD01,I021,FAILURE,9814513664,BD01TRNJDGYROHF,TNEB00000IND01,BD01AGT1805,127.0.0.1,9090,SITE1,2024-12-28 11:22:49,SCYCLE895,BOU002,Timeout at BOU,,BD01,512.47,Y,AEPS
REFP99TFLX8UFRQEG2BXLIQJUW1COOIN8DIANW,FETCH,MSGFG3PYKIJFXWSN6YZMQXR2JGBB6EARBSKZP6,FETCH,Electicity,000,ATM,UJ01,I021,SUCCESS,9877367416,UJ01TRN4LX4AFCT,TNEB00000IND01,UJ01AGT7336,127.0.0.1,9090,SITE0,2025-01-24 03:30:22,SCYCLE846,,,,UJ01,258.75,N,Net_Banking
REFKKQNHW34PGP6S3LK9RZHZZTYCI5XQ4VOPNY,FETCH,MSGNH3UGPNJH8RZSUPP1ZNHBZ6FGED8EXZ6ILX,FETCH,Electicity,000,Agent,HD01,I021,SUCCESS,9686805654,HD01TRN3VOWQ4NK,TNEB00000IND01,HD01AGT3579,127.0.0.1,9090,SITE0,2024-10-17 01:16:00,SCYCLE988,,,,HD01,862.53,Y,AEPS
REFJZIR5MU094DUKLNUNYMMYQJGHDBH9ZYAPA5,FETCH,MSGHMYNF4NWAHPFCOVHQZWEALQXZFMZ1LUTK7R,FETCH,Credit Card,001,Branch,HD01,SB51,FAILURE,9985424513,HD01TRN8CNSVCBT,SBIC00000NATDN,HD01AGT5074,127.0.0.1,9090,SITE1,2024-10-26 00:08:33,SCYCLE439,BOU002,Timeout at BOU,,HD01,445.55,Y,Credit_Card
REFYFVEPJRPIP0T2RBACYTXEIBZJNLQGYINRST,FETCH,MSGVKWPEEWMKA7GU91INPKEIWV7OMZZ8HJSIVA,FETCH,Credit Card,200,Branch,EU01,SB51,FAILURE,9689962708,EU01TRNB8HJF36E,SBIC00000NATDN,EU01AGT9974,127.0.0.1,9090,SITE0,2024-12-01 16:07:46,SCYCLE886,BPR005,Payment cannot be processed,,EU01,353.16,Y,Credit_Card
REFLIQHGC7YBIHMZXQHKTPG0UGRHMA9KHOSN8L,FETCH,MSGTOYFTKRSYKLCROFVOYY0Y4KQFWG0I4RJXYZ,FETCH,Water,200,Internet,GP01,PU51,FAILURE,9124105346,GP01TRNDOHLCPPV,SURYOOOOONATLE,GP01AGT6666,127.0.0.1,9090,SITE1,2024-11-05 04:31:43,SCYCLE670,BPR005,Payment cannot be processed,,GP01,119.55,N,Wallet
REFGJFPAMUTP6RLBXGAY66NIELALVM9HZWWXAH,FETCH,MSGPO8XD7GRYLB41TXKJ3AEW2BAZ9UXN8JRMAS,FETCH,Mobile,001,Branch,MK01,EU51,FAILURE,9570424921,MK01TRNCBVQQEDE,VIDEOCONONATO1,MK01AGT7530,127.0.0.1,9090,SITE0,2024-11-29 14:13:09,SCYCLE927,BOU005,Unable to connect to BOU,,MK01,737.15,N,IMPS
REFDEBMDCYVAQGQDJ9SMXQVFHPUU50Q5TQHQMO,FETCH,MSGGKE5B69DLHLRKBT3MVNFLG813WPYQZ6QRQG,FETCH,Utility,001,POS,EU01,BA01,FAILURE,9580243588,EU01TRNZ1TDNVKU,MUTHOOOOONATBO,EU01AGT7031,127.0.0.1,9090,SITE0,2025-02-22 20:25:34,SCYCLE857,BOU004,Read Timeout to BOU,,EU01,997.68,Y,Cash
REFDICE5UPXEQUZQBFX1KA029I9KGNB43N44ZK,FETCH,MSGAC4WWDE0U6KQV5FPWNRQJJAHXX6VMMNKVAE,FETCH,Utility,001,ATM,GP01,BA01,FAILURE,9338637668,GP01TRNALNLSQ03,MUTHOOOOONATBO,GP01AGT5518,127.0.0.1,9090,SITE1,2024-10-19 03:54:40,SCYCLE816,BOU002,Timeout at BOU,,GP01,111.2,N,Wallet
REFCZDWVV6RUVZM75IS1HKYNAPBOPAMHD0EFUT,FETCH,MSG6SU0JIKOACRNGI9D0JHIALWNLEDYSTOWVCJ,FETCH,Utility,200,POS,KV01,BA01,FAILURE,9444475253,KV01TRNREFXKOXR,MUTHOOOOONATBO,KV01AGT8404,127.0.0.1,9090,SITE1,2024-10-09 17:30:34,SCYCLE229,BPR005,Payment cannot be processed,,KV01,905.5,Y,Cash
REF5MC9PQKNMEBUSDIP4MFXE7XNPIRZ3MY9BHS,FETCH,MSGCLFBEQGOB2PP0FSU0RRVLIFQV9GWXU9IK0P,FETCH,Utility,000,Mobile,JH01,BA01,SUCCESS,9941082964,JH01TRN08TZVSSA,MUTHOOOOONATBO,JH01AGT8430,127.0.0.1,9090,SITE0,2025-01-28 05:02:31,SCYCLE789,,,,JH01,314.66,N,AEPS
REFCYR1ZERUGHOXMB0DWCJGCATB9SJMOTPABEQ,FETCH,MSGH6HFKPULSZYUCPMXYRQW19YRXJMFZQAA6MR,FETCH,Mobile,001,POS,GP01,EU51,FAILURE,9465312456,GP01TRNI7ZCRXLL,VIDEOCONONATO1,GP01AGT5897,127.0.0.1,9090,SITE0,2024-10-03 21:26:08,SCYCLE816,BOU004,Read Timeout to BOU,,GP01,500.73,N,Cash
REFXCFOLUCWUNAYPG14UWCCA9DG34NJDKTO1YY,FETCH,MSGSJ7KPJVY4JNOILL1WH6MMWSU8YHQTKFR6HM,FETCH,Loan,200,POS,EU01,KM11,FAILURE,9920614576,EU01TRNPTX1NRNW,KOTA0000ONATED,EU01AGT2702,127.0.0.1,9090,SITE0,2024-11-15 00:12:13,SCYCLE878,BPR005,Payment cannot be processed,,EU01,272.0,N,Cash
REFR1RONCISGZ7MMRB5GVP1HGWSXCVSQHGGE2Q,FETCH,MSGCBVQHCQ0W1GRCL1YVMJZKZIWV3SGOHR5BHL,FETCH,Mobile,200,ATM,JH01,EU51,FAILURE,9974426277,JH01TRN7BL5K9CN,VIDEOCONONATO1,JH01AGT8853,127.0.0.1,9090,SITE0,2024-10-18 18:35:06,SCYCLE416,BPR005,Payment cannot be processed,,JH01,790.44,N,Cash
REFPIIPKM9MLGQGE6OKGHS0H5KDQYUSQILIKF3,FETCH,MSGMFRMUUS46YW6OCSMLPAKCX1PYJO347XBH8F,FETCH,Credit Card,000,ATM,EU01,SB51,SUCCESS,9554207225,EU01TRNHOZKKWZC,SBIC00000NATDN,EU01AGT5195,127.0.0.1,9090,SITE1,2025-01-18 16:57:35,SCYCLE267,,,,EU01,743.56,N,CBDC
REFWCQHBUKCBFAXYU70ZM7YEVHR3RBAKZJZSQI,FETCH,MSGBPOMIM3ITC1AZEIECJLAPCWBZAS3WJTTJ0N,FETCH,IIFLOOOOONATD9,200,Branch,BD01,AX91,FAILURE,9801476638,BD01TRNQMSGLOOL,IIFLOOOOONATD9,BD01AGT1922,127.0.0.1,9090,SITE1,2025-03-02 14:58:24,SCYCLE772,BPR005,Payment cannot be processed,,BD01,150.6,N,Net_Banking
REFDTAHXDLQ2A4LIA6I7S9W1OQYYGMGVY4PFXJ,FETCH,MSG6BNRJ17AVCAOZFX6UJYC8V9GXCUUK5SEJKQ,FETCH,IIFLOOOOONATD9,200,Mobile,IC01,AX91,FAILURE,9633196679,IC01TRNS20ZIEQU,IIFLOOOOONATD9,IC01AGT8587,127.0.0.1,9090,SITE1,2025-01-20 05:03:15,SCYCLE707,BPR005,Payment cannot be processed,,IC01,55.85,Y,Net_Banking
REFTTCIXXD8HFBWBESVDLPQNBHSIK3YTL5ZZWL,FETCH,MSG7MQHPT9IA2UAKUCMBKBYXFMWPIMCW84R6DV,FETCH,Credit Card,000,Internet,UJ01,SB51,SUCCESS,9694126386,UJ01TRNWKSW6YCG,SBIC00000NATDN,UJ01AGT3357,127.0.0.1,9090,SITE0,2025-02-15 10:02:48,SCYCLE391,,,,UJ01,161.02,N,Credit_Card
REFR7XNZO1YJTZ2T6EECAPWMGBR28PJQ068JLE,FETCH,MSGJNE3H1BG2CRBOXX7ZO064FRQZKGUJB042RX,FETCH,Mobile,001,POS,JH01,EU51,FAILURE,9516202963,JH01TRNXXUYZPEN,VIDEOCONONATO1,JH01AGT3569,127.0.0.1,9090,SITE1,2025-01-13 21:14:29,SCYCLE198,BOU002,Timeout at BOU,,JH01,48.0,Y,CBDC
REF1XKT4G5FM3OG2BPY1S5T64AWDQVE2YHCMDT,FETCH,MSGLWFPMJ6SVERBLCQNNGIYGO7VAVPTKHTPC2U,FETCH,Utility,000,POS,PP01,BA01,SUCCESS,9655819682,PP01TRNWXL1JAG9,MUTHOOOOONATBO,PP01AGT3878,127.0.0.1,9090,SITE1,2024-09-23 18:31:55,SCYCLE819,,,,PP01,83.76,N,IMPS
REFQO6WXMF8RM6Z587GF7LDKE9EHHFA3IQSPUH,FETCH,MSGGWUCGIQQ4JQIN8R5Z3W3GFK2TTOHJ15JZCI,FETCH,IIFLOOOOONATD9,200,ATM,UJ01,AX91,FAILURE,9846305046,UJ01TRN4HBBLZZ9,IIFLOOOOONATD9,UJ01AGT6974,127.0.0.1,9090,SITE1,2025-02-04 04:45:51,SCYCLE682,BPR005,Payment cannot be processed,,UJ01,498.78,Y,Credit_Card
REFHSQOCVYOS8JQXHIXCWRTPNYCWFNIOTR9EO3,FETCH,MSGDUVWSQXLRJHIAL3NAYTVIS2L8EN1JVXFQGR,FETCH,Electicity,200,Internet,GP01,I021,FAILURE,9343333066,GP01TRNX2LLGJI0,TNEB00000IND01,GP01AGT6741,127.0.0.1,9090,SITE1,2024-12-04 09:39:14,SCYCLE657,BPR005,Payment cannot be processed,,GP01,419.85,N,Wallet
REF4HWP9TIUPFVWHLKCOC0IFWMRKEPIANSHXME,FETCH,MSGUZHEIU6VPMXAL3CGZOKGXP5DELII1GHU2MR,FETCH,Electicity,200,Branch,GP01,I021,FAILURE,9760958235,GP01TRN5DTHIZH1,TNEB00000IND01,GP01AGT9864,127.0.0.1,9090,SITE1,2025-02-01 04:25:48,SCYCLE902,BPR005,Payment cannot be processed,,GP01,664.99,Y,Cash
REF2F3YARR2L4QTONV5N69SIGS0ZN54WVSMHM4,FETCH,MSGLBTEQJD67YLJXPIXLVIDHXCCMHNFGDHI1T2,FETCH,Utility,001,ATM,PP01,BA01,FAILURE,9129944084,PP01TRNKCEX0ZXU,MUTHOOOOONATBO,PP01AGT4627,127.0.0.1,9090,SITE0,2024-11-10 03:46:45,SCYCLE120,BOU003,Connect Timeout to BOU,,PP01,197.74,N,Credit_Card
REFHM3KU2MCFHEIFXGDHUOUDCTFIHHSQB9QST8,FETCH,MSGMXHCB4CU1EHOBEZMXCAH1U7ETQ2IVZPYMEH,FETCH,Water,200,Agent,EU01,PU51,FAILURE,9643204059,EU01TRNZ5SYMZLK,SURYOOOOONATLE,EU01AGT3554,127.0.0.1,9090,SITE0,2024-11-02 15:01:58,SCYCLE731,BPR005,Payment cannot be processed,,EU01,221.75,Y,AEPS
REFXQ1RUM20Z8ZFIMAMWCNKRUS4DWEVIFRZ1VS,FETCH,MSGQL9SXRKBFVEHG3SNQGIPQPNETUVI3D4D8UH,FETCH,Utility,000,Internet,MK01,BA01,SUCCESS,9222861385,MK01TRNBXXEZ51G,MUTHOOOOONATBO,MK01AGT8441,127.0.0.1,9090,SITE1,2024-10-04 17:29:25,SCYCLE426,,,,MK01,506.85,N,Debit_Card
REFGRUZMIT3V06HGCCYY2HXNVU1UITINUADTN1,FETCH,MSGKKGOARRC0ZUQXERI1LBKKZDVAZTDRFHHQNY,FETCH,Credit Card,200,ATM,BD01,SB51,FAILURE,9873668373,BD01TRNK4GCOJU3,SBIC00000NATDN,BD01AGT5748,127.0.0.1,9090,SITE1,2024-10-17 20:11:47,SCYCLE464,BPR005,Payment cannot be processed,,BD01,302.34,N,CBDC
REFLYRQBHTYNA1LNZS3LDPJPIKWABONXKUFUBL,FETCH,MSGF2YXBXAPAUMH8BPYHEPZCB8V2B7T3XZDYVJ,FETCH,Electicity,200,POS,PP01,I021,FAILURE,9472537473,PP01TRNXXWV2UA3,TNEB00000IND01,PP01AGT8286,127.0.0.1,9090,SITE0,2025-02-06 11:04:49,SCYCLE506,BPR005,Payment cannot be processed,,PP01,275.69,Y,CBDC
REFRU1XTJKIAIJAXSJLYZ1AKPMXJETCCVYUWQL,FETCH,MSG4YHABBUH3W0I39PNC0XHLJ2TIOYVPP04CY2,FETCH,Loan,200,POS,EU01,KM11,FAILURE,9813881788,EU01TRNEMRWSJCM,KOTA0000ONATED,EU01AGT7221,127.0.0.1,9090,SITE0,2025-01-13 09:21:22,SCYCLE767,BPR005,Payment cannot be processed,,EU01,148.18,Y,Cash
REFQXD6MVXJFKSHV46MQOMAV24IL3X4AWZJKBA,FETCH,MSGJFNEI9QDOKFC9YQ2XTPAUZHHKRXJRPGR2AR,FETCH,Loan,200,Mobile,GP01,KM11,FAILURE,9735792088,GP01TRNNC54ERS1,KOTA0000ONATED,GP01AGT2285,127.0.0.1,9090,SITE0,2025-01-29 01:33:49,SCYCLE645,BPR005,Payment cannot be processed,,GP01,201.08,N,Debit_Card
REFIWECSBW483TD6ZRCVWVGTIK85DHNQYWGSQD,FETCH,MSG64QVDLFU1JYLFDOZVTZBQZFWWVWONSYK33H,FETCH,IIFLOOOOONATD9,200,Mobile,MK01,AX91,FAILURE,9635584413,MK01TRNCTDVEGKZ,IIFLOOOOONATD9,MK01AGT1522,127.0.0.1,9090,SITE0,2024-10-14 06:08:44,SCYCLE921,BPR005,Payment cannot be processed,,MK01,389.89,Y,UPI
REFK5RGIQCVDRYYTIBWLG5BDM9I6Y89KSD8N50,FETCH,MSGMTYWZQPGE9SPIUCSQOSP3TJ5DBFQZUO8BNE,FETCH,Utility,200,Internet,HD01,BA01,FAILURE,9956540929,HD01TRNWBU6ZILW,MUTHOOOOONATBO,HD01AGT2378,127.0.0.1,9090,SITE0,2024-12-26 02:05:59,SCYCLE605,BPR005,Payment cannot be processed,,HD01,943.39,N,CBDC
REF9TOH1JJP1PW5BE9LFTPFATASX7E4D1LVWMZ,FETCH,MSGZYD6KSGIC9SWIAKLTKHXIO34V9RFTYR4OEC,FETCH,Loan,200,POS,MK01,KM11,FAILURE,9978933692,MK01TRNGBRCKNQJ,KOTA0000ONATED,MK01AGT4496,127.0.0.1,9090,SITE1,2024-09-28 07:47:15,SCYCLE782,BPR005,Payment cannot be processed,,MK01,483.2,Y,Debit_Card
REFTO1NQ0KK8ODQSLC1Z8MRQFYAOGQLS1Y3AMC,FETCH,MSGVBHAER6VZFLNDH21QGLURCWN81MZ8AWBIDB,FETCH,Loan,001,POS,JH01,KM11,FAILURE,9936399606,JH01TRN2UFKVCRW,KOTA0000ONATED,JH01AGT6098,127.0.0.1,9090,SITE0,2025-01-01 05:39:18,SCYCLE828,BOU004,Read Timeout to BOU,,JH01,885.82,Y,UPI
REFXHZPIE7FLB3UKOQOOCMYGBV1JBVU8APOS2Y,FETCH,MSG8BTX9JRPMYEFBOUREGP8WNZUHVPYIIK4XKK,FETCH,Electicity,200,Agent,JH01,I021,FAILURE,9800270674,JH01TRNTJP2HHAH,TNEB00000IND01,JH01AGT1760,127.0.0.1,9090,SITE1,2024-12-27 04:42:25,SCYCLE358,BPR005,Payment cannot be processed,,JH01,235.91,N,AEPS
REFW3RJ1ZKBKIA1ETTITTWM23A39MSNIS1ZVEH,FETCH,MSGCQWLS6WWHVD9LAZORNGIN2YT7UOTIUPTZW2,FETCH,Electicity,000,Agent,UJ01,I021,SUCCESS,9124415469,UJ01TRNZAABWV5J,TNEB00000IND01,UJ01AGT3708,127.0.0.1,9090,SITE1,2025-01-29 08:52:36,SCYCLE954,,,,UJ01,444.83,Y,Net_Banking
REFV4TFYFTVQ2JSOTK4YQSWLJPYOKRA5KGVRBD,FETCH,MSGMX7TLQ5VMNCKHYQBVRRBR4PXEVDSEDNOYXX,FETCH,Water,000,Agent,MK01,PU51,SUCCESS,9547373858,MK01TRNFGIIVFSF,SURYOOOOONATLE,MK01AGT7931,127.0.0.1,9090,SITE1,2025-02-11 14:33:54,SCYCLE798,,,,MK01,59.26,N,Cash
REFFZYBUOA5LX5XQIYVZCHGMJHL1DICUACPFS8,FETCH,MSG6O75UFW3NAGRXHVPAN3RD1Z6C0A9FYVKXWH,FETCH,Loan,000,Internet,IC01,KM11,SUCCESS,9679467176,IC01TRNYAHEU3G7,KOTA0000ONATED,IC01AGT5825,127.0.0.1,9090,SITE1,2024-11-13 05:08:38,SCYCLE833,,,,IC01,28.07,Y,UPI
REF8XDHUC1NNXOE09PEBJVACYXVCROTCT2CBBP,FETCH,MSGM3T0JPS5SZUUW5K7STFQDULZ81O154SGBOI,FETCH,Electicity,000,Branch,JH01,I021,SUCCESS,9941137586,JH01TRN55QHOEEB,TNEB00000IND01,JH01AGT7212,127.0.0.1,9090,SITE0,2024-09-25 16:30:17,SCYCLE877,,,,JH01,619.08,N,AEPS
REFADMBTA4PFXESJRVK4PR3O6QP0IY140CSFKE,FETCH,MSGSSKHA11IJNIOXU98AFHVQW7DIW8LKPBVABH,FETCH,IIFLOOOOONATD9,000,POS,KV01,AX91,SUCCESS,9409382881,KV01TRNWLUH35HQ,IIFLOOOOONATD9,KV01AGT3607,127.0.0.1,9090,SITE0,2025-02-10 10:30:23,SCYCLE623,,,,KV01,849.17,N,UPI
REFRV5JXDPZVOVJYVGFWLOQQJC0Q0BBZHEUI5Q,FETCH,MSGUGDUKTRT10A6AHNDLO2RCALGYUIUSADQFDV,FETCH,Loan,001,Agent,UJ01,KM11,FAILURE,9114641835,UJ01TRNMPR6EDZI,KOTA0000ONATED,UJ01AGT7833,127.0.0.1,9090,SITE1,2024-09-28 20:28:18,SCYCLE848,BOU003,Connect Timeout to BOU,,UJ01,722.76,N,UPI
REFFNTBZ8WHAQ4UDCMEWS8SFYCQRVOF34HNYSY,FETCH,MSGJ4RRX5HJLPCPPF4AEOWPJ9RRR2Z7UPARRSY,FETCH,Loan,000,ATM,EU01,KM11,SUCCESS,9326159842,EU01TRNFLXQPPWX,KOTA0000ONATED,EU01AGT3374,127.0.0.1,9090,SITE0,2024-11-06 12:09:38,SCYCLE796,,,,EU01,47.48,Y,UPI
REFVHTIFCPY1VN1BEAHMT4HHJ4XFNESGEPQMDX,FETCH,MSGKCYNMUGG0PP9MVGREXPSUXFYYRHIV4XXYRD,FETCH,Utility,001,Internet,MK01,BA01,FAILURE,9151586858,MK01TRNAF49IN5F,MUTHOOOOONATBO,MK01AGT7607,127.0.0.1,9090,SITE0,2025-01-07 17:58:58,SCYCLE899,BOU003,Connect Timeout to BOU,,MK01,911.28,N,IMPS
REFYXI8IHAMRW8CKWHHQQQKMXCT4U0GLRICCPM,FETCH,MSGHWZWCD3P4BAYIZ2KTFFJTOTQLWTW0CYLLNH,FETCH,IIFLOOOOONATD9,200,ATM,IC01,AX91,FAILURE,9937812430,IC01TRNPHS8NCQ5,IIFLOOOOONATD9,IC01AGT8010,127.0.0.1,9090,SITE0,2024-11-12 19:37:47,SCYCLE950,BPR005,Payment cannot be processed,,IC01,569.81,N,Net_Banking
REFIX0ZEWADP7BME5CECGYWY7VXJMMKCF8OWDI,FETCH,MSGHJTNJ5G0WTJX9HRAN0PZJ3ZO0PHVUZRVZLZ,FETCH,Loan,200,Agent,PP01,KM11,FAILURE,9973724760,PP01TRNS6UJ1S65,KOTA0000ONATED,PP01AGT1351,127.0.0.1,9090,SITE1,2024-11-19 22:02:27,SCYCLE286,BPR005,Payment cannot be processed,,PP01,974.88,N,AEPS
REFBTETLQ9ERDGNHSKMU103PLZ3KVBMAMK21JL,FETCH,MSGNHFUTAWFIL8NTQGYMUC0INGCMAE2ZQJPFNQ,FETCH,IIFLOOOOONATD9,001,Mobile,EU01,AX91,FAILURE,9990468485,EU01TRNOC4KVHIW,IIFLOOOOONATD9,EU01AGT8233,127.0.0.1,9090,SITE0,2024-09-25 06:35:18,SCYCLE785,BOU004,Read Timeout to BOU,,EU01,844.38,N,IMPS
REFOM8CWIYESNWPCB69ROUBQPDJQC6OWSHTA59,FETCH,MSGN0WSPJXCOLMAIZYZCXYYFCHK4A83JGNVLHA,FETCH,Utility,000,Internet,UJ01,BA01,SUCCESS,9712790906,UJ01TRNZC9AQ9UU,MUTHOOOOONATBO,UJ01AGT7254,127.0.0.1,9090,SITE1,2024-10-07 23:27:12,SCYCLE238,,,,UJ01,959.18,Y,Debit_Card
